Lower tier local authorities Code,Lower tier local authorities,Observation
E09000001,City of London,7323
E09000002,Barking and Dagenham,76956
E09000003,Barnet,156147
E09000004,Bexley,99312
E09000005,Brent,127861
E09000006,Bromley,142083
E09000007,Camden,108236
E09000008,Croydon,162273
E09000009,Ealing,142126
E09000010,Enfield,128056
E09000011,Greenwich,121017
E09000012,Hackney,116341
E09000013,Hammersmith and Fulham,92893
E09000014,Haringey,113329
E09000015,Harrow,94793
E09000016,Havering,106557
E09000017,Hillingdon,115474
E09000018,Hounslow,108133
E09000019,Islington,106898
E09000020,Kensington and Chelsea,89229
E09000021,Kingston upon Thames,68885
E09000022,Lambeth,146411
E09000023,Lewisham,131452
E09000024,Merton,86623
E09000025,Newham,125013
E09000026,Redbridge,107489
E09000027,Richmond upon Thames,85587
E09000028,Southwark,141962
E09000029,Sutton,85249
E09000030,Tower Hamlets,134473
E09000031,Waltham Forest,108172
E09000032,Wandsworth,150467
E09000033,Westminster,128912
